store_name,location,event_type,event_date,status,short_description,article_link,published_date,Date_Appended
Roccito’s Garden,"5001 Airport Blvd., Austin",Opening,August,now open,"Roccito’s Garden, the sister concept of Rocco’s Neighborhood Joint, is now open in North Central Austin. The wine garden operates Thursday through Sunday and opened in August at the given address.",https://communityimpact.com/central-austin/business/wine-flowers-and-film-5-north-central-austin-business-updates/,"Published September 11, 2026 at 4:15 p.m. CT",2026-09-14
Infinite Hitting - Lake Travis,"22111 Hwy 71, Bldg. 701, Spicewood",Opening,early October,is opening,"Infinite Hitting – Lake Travis, an indoor baseball and softball hitting facility, is opening in Spicewood in early October. The facility offers batting cages, pitching machines, and private coaching.",https://communityimpact.com/lake-travis-westlake/business/indoor-hitting-facility-infinite-hitting-lake-travis-coming-to-spicewood/,"Published September 11, 2026 at 3:31 p.m. CT",2026-09-14
No qualifying business found,,,,,"The article profiles The Empress metaphysical shop, which opened in 2019, but does not report a new opening, closing, or remodel.",https://communityimpact.com/new-braunfels/business/the-empress-offers-magic-and-mysticism-in-new-braunfels/,"Published September 11, 2026 at 3:30 p.m. CT",2026-09-14
Cosmic Egg Wellness,"900 RM 620, Ste. 211, Round Rock",Remodel,October,will reopen following a relocation,"Cosmic Egg Wellness will relocate from downtown Round Rock and reopen at the Creekside Plaza retail center in October. The business offers prenatal and postpartum doula services, classes, and yoga.",https://communityimpact.com/round-rock/business/cosmic-egg-wellness-to-relocate-within-round-rock-in-october/,"Published September 11, 2026 at 10:00 a.m. CT",2026-09-14
No qualifying business found,,,,,"Popbelly’s Popcorn is celebrating its 10‑year anniversary in Gruene; the article does not mention a new opening, closing, or remodel.",https://communityimpact.com/new-braunfels/business/popbelly-s-popcorn-celebrates-10-years-in-gruene/,"Published September 11, 2026 at 9:15 a.m. CT",2026-09-14
No qualifying business found,,,,,The article mentions Industrious gym offering functional fitness in Northwest Austin but provides no details about an opening or closing.,https://communityimpact.com/northwest-austin/business/industrious-gym-offers-functional-fitness-in-northwest-austin/,3d ago,2026-09-14
Trader Joe's,"corner of Preston Road and Spring Creek Parkway, Plano",Opening,Not specified,set to start construction in December,Trader Joe's plans a second Plano store at the corner of Preston Road and Spring Creek Parkway. Construction is set to start in December and finish the following July.,https://communityimpact.com/plano/business/trader-joe-s-to-open-second-plano-store/,"Published September 11, 2026 at 4:09 p.m. CT",2026-09-14
Psycho Bunny,"820 W. Stacy Road, Ste. 174, Allen",Opening,Sept. 3,Opened Sept. 3,"Psycho Bunny opened a new apparel store in Allen within the Allen Premium Outlets. The location opened on Sept. 3 at 820 W. Stacy Road, Ste. 174.",https://communityimpact.com/allen/business/clothing-construction-check-out-4-business-updates-in-allen/,"Published September 11, 2026 at 3:30 p.m. CT",2026-09-14
Academy Sports + Outdoors,"3525 S. Preston Road, Celina",Opening,Aug. 23,Opened Aug. 23,Academy Sports + Outdoors opened a new store in Celina at 3525 S. Preston Road. The opening occurred on Aug. 23.,https://communityimpact.com/prosper-celina/business/check-out-16-business-updates-in-prosper-celina/,"Published September 11, 2026 at 1:45 p.m. CT",2026-09-14
Omaha Steaks,"1469 W. SH 114, Ste. 600, Grapevine",Opening,Sept. 4,Opened Sept. 4,"Omaha Steaks opened a retail store in Grapevine at 1469 W. SH 114, Ste. 600. The store began operations on Sept. 4.",https://communityimpact.com/grapevine-colleyville-southlake/business/omaha-steaks-opens-doors-in-grapevine/,"Published September 11, 2026 at 12:00 p.m. CT",2026-09-14
