status,industry,region,title,source,published_date,direct_link,keyword,relevance_score,Date_Appended
Closing,Convenience Stores / Distributors,USA,"Eagles Investments ends bankruptcy proceedings, reveals plans to open 100 new c-stores",C-Store Dive,2026-06-16 14:07:26,https://www.cstoredive.com/news/eagles-investments-exits-bankruptcy-reveals-plans-to-open-100-new-c-stores/822941/,chapter 11,10,2026-06-16
Closing,Specialty / Other,USA,"West Marine closing dozens of stores, declares bankruptcy",MSN,2026-06-16 06:20:19,https://support.google.com/websearch/answer/86640,filing for bankruptcy,8,2026-06-16
Closing,Specialty / Other,USA,Popular summer camp files for Chapter 11 bankruptcy,AOL.com,2026-06-16 03:20:23,https://www.aol.com/articles/popular-summer-camp-files-chapter-210718000.html,chapter 11 bankruptcy,12,2026-06-16
Closing,Specialty / Other,USA,Outdoor retailer set to close 59 stores amid bankruptcy filing,MSN,2026-06-16 02:43:46,https://www.msn.com/en-us/money/companies/outdoor-retailer-set-to-close-59-stores-amid-bankruptcy-filing/ar-AA25HDMC?ocid=finance-verthp-feeds,chapter 11 bankruptcy,8,2026-06-16
Closing,Specialty / Other,USA,West Marine to close 59 stores amid Chapter 11 restructuring,MSN,2026-06-16 00:42:28,https://www.msn.com/en-us/money/companies/west-marine-to-close-59-stores-amid-chapter-11-restructuring/ss-AA25ID1B?ocid=Huawei,chapter 11 bankruptcy,7,2026-06-16
Closing,Specialty / Other,USA,"West Marine to close Port Washington store, 58 others nationwide following bankruptcy filing",Newsday,2026-06-15 22:24:55,https://www.newsday.com/business/west-marine-bankruptcy-store-closures-fij3wnd9,chapter 11,8,2026-06-16
Closing,Specialty / Other,USA,"West Marine files bankruptcy, closing Florida stores, here's where",AOL.com,2026-06-15 21:47:53,https://www.aol.com/articles/west-marine-files-bankruptcy-closing-183318198.html,chapter 11,8,2026-06-16
Closing,Specialty / Other,USA,Sleep Number plans $415 million bankruptcy sale,FOX6 News Milwaukee,2026-06-15 21:11:01,https://www.fox6now.com/news/sleep-number-bankruptcy-sale,filed for bankruptcy,8,2026-06-16
Closing,Specialty / Other,USA,West Marine closing 59 stores after bankruptcy. See Florida list,AOL.com,2026-06-15 19:54:59,https://www.aol.com/news/west-marine-closing-59-stores-184838526.html,chapter 11,8,2026-06-16
Closing,Specialty / Other,Canada,Outdoor retailer set to close 59 stores in the US amid bankruptcy filing,AOL.com,2026-06-15 18:59:43,https://www.aol.com/articles/outdoor-retailer-set-close-59-184412000.html,filing for bankruptcy,8,2026-06-16
Closing,Specialty / Other,USA,West Marine plans to close 59 stores after bankruptcy filing: See full list of locations,KTVB,2026-06-15 18:10:00,https://www.ktvb.com/article/news/nation-world/west-marine-store-closures-full-list-2026-bankruptcy-protection/507-cd7bb038-fd61-4aee-bb7b-8537f88fd975,chapter 11,8,2026-06-16
Closing,Specialty / Other,USA,"Sleep Number files for bankruptcy, will combine with Sleep Country Canada",WSOC TV,2026-06-15 18:08:33,https://www.wsoctv.com/news/trending/sleep-number-files-bankruptcy-will-combine-with-sleep-country-canada/TTX6U6GHSBBAFD5PRXYLH3NT7U/,chapter 11 bankruptcy,8,2026-06-16
Closing,Specialty / Other,USA,This Home Depot rival just filed for bankruptcy. What happens next?,Cleveland.com,2026-06-15 17:14:00,https://www.cleveland.com/news/2026/06/this-home-depot-rival-just-filed-for-bankruptcy-what-happens-next.html,chapter 11,8,2026-06-16
Closing,Specialty / Other,Canada,"Boating retail giant West Marine files for bankruptcy, closes 59 stores",WHIO TV,2026-06-15 17:01:20,https://www.whio.com/news/trending/boating-retail-giant-west-marine-files-bankruptcy-closes-59-stores/YGPCDQNHFZGJVKMPKKG7N7MBGM/,files for bankruptcy,11,2026-06-16
Closing,Specialty / Other,USA,Major outdoor chain enters bankruptcy and shutters dozens of stores,mibolsillo.co,2026-06-15 16:21:00,https://www.mibolsillo.co/major-outdoor-chain-enters-bankruptcy-and-shutters-dozens-of-stores-t202606150019.html,chapter 11,8,2026-06-16
Closing,Specialty / Other,USA,West Marine to Shut 59 Locations After Filing Bankruptcy Amid Major Consumer Shift,Meyka,2026-06-15 11:56:04,https://meyka.com/blog/west-marine-to-shut-59-locations-after-filing-bankruptcy-amid-major-consumer-shift-2606/,chapter 11,8,2026-06-16
Closing,Specialty / Other,USA,"25-year-old bagel chain closes all locations, files Chapter 7",MSN,2026-06-15 08:05:15,https://www.msn.com/en-us/news/news/content/ar-AA20cdba?ocid=sapphireappshare&apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1,files for bankruptcy,7,2026-06-16
Closing,Specialty / Other,USA,Iconic grocery brand Del Monte Foods files for bankruptcy,MSN,2026-06-15 05:39:30,https://support.google.com/websearch/answer/86640,files for bankruptcy,11,2026-06-16
Closing,Specialty / Other,USA,34-year-old pizza company files for bankruptcy,AOL.com,2026-06-15 00:01:39,https://www.aol.com/finance/34-old-pizza-company-files-150501747.html,files for bankruptcy,11,2026-06-16
Closing,Specialty / Other,USA,"Luxury retail chain wins court approval, exits bankruptcy",AOL.com,2026-06-14 22:47:41,https://www.aol.com/finance/luxury-retail-chain-wins-court-161300174.html,chapter 11,8,2026-06-16
Closing,Specialty / Other,USA,West Marine files for bankruptcy and closes 59 stores nationwide,Rolling Out,2026-06-14 19:04:28,https://rollingout.com/2026/06/14/west-marine-for-bankruptcy-and-closes-59/,chapter 11,8,2026-06-16
