date,title,address,url
"July 12, 2026",Noko Yaki Eyes Summer Opening in Former Tin Angel Space on West End,"3201 West End Ave, Nashville, TN 37203, USA",https://whatnow.com/nashville/restaurants/noko-yaki-eyes-summer-opening-in-former-tin-angel-space-on-west-end/
"July 12, 2026",Alma Viva Coffee Brewing a Colombian-Inspired Café Experience in Nashville,"130 19th Ave N, Nashville, TN 37203, USA",https://whatnow.com/nashville/restaurants/alma-viva-coffee-brewing-a-colombian-inspired-cafe-experience-in-nashville/
"July 12, 2026",Terra Gaucha Brazilian Steakhouse Eyes The Gulch With Proposed Nashville Location,"1212 McGavock St, Nashville, TN 37203, USA",https://whatnow.com/nashville/restaurants/terra-gaucha-brazilian-steakhouse-eyes-the-gulch-with-proposed-nashville-location/
"July 12, 2026",Harding House Brewing Expands to L&L Market,"410 39th Ave N, Nashville, TN 37209, USA",https://whatnow.com/nashville/restaurants/harding-house-brewing-expands-to-ll-market/
"July 12, 2026",The Belly of the Whale Poised for Cotswold Debut,"4422 Colwick Rd, Charlotte, NC 28211, USA",https://whatnow.com/charlotte/restaurants/the-belly-of-the-whale-poised-for-cotswold-debut/
"July 12, 2026",New Dining Frontier on the Horizon for the Line DC Hotel,"1770 Euclid St NW, Washington, DC 20009",https://whatnow.com/washington-dc/restaurants/new-dining-frontier-on-the-horizon-for-the-line-dc-hotel/
"July 12, 2026",Lloyd's Full Service Set to Open in Downtown Cary,"107 E Chatham St, Cary, NC 27511, USA",https://whatnow.com/charlotte/restaurants/lloyds-full-service-set-to-open-in-downtown-cary/
"July 12, 2026",Tokyo-Based Tonchin Preparing First Columbus Location in the Short North,"965 N High St, Columbus, OH 43201, USA",https://whatnow.com/columbus/restaurants/tokyo-based-tonchin-preparing-first-columbus-location-in-the-short-north/
"July 12, 2026",Dave and Buster’s Working Towards Mississippi Debut,,https://whatnow.com/memphis/restaurants/dave-and-busters-working-towards-mississippi-debut/
"July 12, 2026",Sweet Fizz Bubbling into Hernando,"2362 McIngvale Rd, Hernando, MS 38632",https://whatnow.com/memphis/restaurants/sweet-fizz-bubbling-into-hernando/
"July 10, 2026",Compton's Coffee Receives Grant to Open in San Francisco's Castro,"Parking lot, 359 Grant Ave, San Francisco, CA 94108",https://whatnow.com/san-francisco/restaurants/comptons-coffee-receives-grant-to-open-in-san-franciscos-castro/
"July 10, 2026",Notte Divino to Debut at Former Osteria Divino Space in Sausalito,"37 Caledonia St, Sausalito, CA 94965",https://whatnow.com/san-francisco/restaurants/notte-divino-to-debut-at-former-osteria-divino-space-in-sausalito/
"July 10, 2026",Lateen Cafe Plans Location in Fremont,"1980 Driscoll Rd, Fremont, CA 94539",https://whatnow.com/san-francisco/restaurants/lateen-cafe-plans-location-in-fremont/
"July 10, 2026",Full-Service Restaurant and Bar Planned for Upcoming The Factory Hotel,"230 Franklin Road Franklin, TN 37064",https://whatnow.com/nashville/restaurants/full-service-restaurant-and-bar-planned-for-upcoming-the-factory-hotel/
"July 10, 2026",STK Steakhouse Eyes Location In Brea,"260 S Brea Blvd, Brea, CA 92821",https://whatnow.com/orange-county/restaurants/stk-steakhouse-eyes-location-in-brea/
"July 10, 2026",Sabor y Ole' Planned for Historic Downtown Orange,"109 S Glassell St, Orange, CA 92866",https://whatnow.com/orange-county/restaurants/sabor-y-ole-planned-for-historic-downtown-orange/
"July 10, 2026",Josephine's Restaurant and Lounge to Open on Homestead Road,"11110 Homestead Rd, Houston, TX 77016",https://whatnow.com/houston/restaurants/josephines-restaurant-and-lounge-to-open-on-homestead-road/
"July 10, 2026",Palmetto Superfoods Coming to Brea Mall,"1065 Brea Mall, Brea, CA 92821",https://whatnow.com/uncategorized/restaurants/palmetto-superfoods-coming-to-brea-mall/
"July 10, 2026",Fieldwork Brewing Co. Takes Over Former Social Club Space,"563 Ruger St, San Francisco, CA 94129",https://whatnow.com/san-francisco/restaurants/fieldwork-brewing-co-takes-over-former-social-club-space/
"July 10, 2026",Jackie's Desert Rose Preparing to Welcome Guests in San Antonio,"519 E Josephine St, San Antonio, TX 78215, USA",https://whatnow.com/san-antonio/restaurants/jackies-desert-rose-preparing-to-welcome-guests-in-san-antonio/
"July 10, 2026",7 Brew Coffee Plans New Drive-Thru Location in Midland,"5734 UTSA Boulevard #101b, San Antonio, TX 78249, USA",https://whatnow.com/san-antonio/restaurants/7-brew-coffee-plans-new-drive-thru-location-in-midland/
"July 10, 2026","The Brave Burger Opens in Oviedo, Headed to Avalon Park Next","3801 Avalon Park E Blvd Ste. 100, Orlando, FL 32828",https://whatnow.com/orlando/restaurants/the-brave-burger-opens-in-oviedo-headed-to-avalon-park-next/
