title,url,source,pub_date,snippet,query
Immersive gaming venue plans Cummins Station location,https://www.bizjournals.com/nashville/news/2026/07/08/time-mission-nashville-location-venue-cummins-stat.html,Nashville Business Journal,An hour ago,"Time Mission locations with two on the way, as well as international locations in Belgium and one coming soon in the Netherlands.

An opening date for the Nashville location wasn't immediately available, but the website says coming soon.

Several projects are underway at Cummins Station, including members-only sporting club Lodge2A and Milkshake Concepts Mexican restaurant Vidorra.…",restaurant opening
Popular Shelby County restaurant to close after nearly five years in business,https://www.bizjournals.com/birmingham/news/2026/07/08/the-copper-train-closure.html,Birmingham Business Journal,6 hours ago,"Alabaster cafe The Copper Train will close July 11, according to a social media post by the restaurant .

“We love the community of Alabaster and will always cherish our memories of serving y’all,” the post states.

The restaurant has operated in its location at 224 First Street S. since opening almost five years ago.

…",restaurant opening
Austin losing Michelin starred restaurant Olamaie,https://www.bizjournals.com/austin/news/2026/07/08/austin-olamaie-closing-restaurant.html,Austin Business Journal,7 hours ago,"""It's impossible to find the words to convey the sentiments related to closing a restaurant that has meant so much. Gratitude is the feeling that comes forward overwhelmingly,"" the announcement said. 

In 2022, MaieB Hospitality LLC — basically the parent company of Olamaie — hired a CEO to grow the restaurant business. …",restaurant opening
"Middle Eastern eatery expands in Scottsdale, plus other Valley restaurant news",https://www.bizjournals.com/phoenix/news/2026/07/08/middle-eastern-restaurant-expands-in-scottsdale.html,Phoenix Business Journal,7 hours ago,"De Babel, a Scottsdale Middle Eastern restaurant , is opening its second location just four miles south of its original store along the Loop 101.

De Babel has signed a lease at The Edge, a retail development on Salt River Pima-Maricopa Indian Community Land near 90th Street and the 101. …",restaurant opening
Anthony's Restaurants founder Budd Gould dies at 85,https://www.bizjournals.com/seattle/news/2026/07/08/anthonys-restaurants-founder-budd-gould-dies-obit.html,Puget Sound Business Journal,7 hours ago,"The name carried forward, and three years later, Anthony's HomePort was born in Kirkland. The restaurant , built around waterfront dining and fresh, local seafood, became the template for the business.



Gould pushed the company further up its own supply chain in 1984, opening a wholesale seafood operation at Seattle's Pier 91 to source directly from Northwest and Alaska fishing fleets. 

…",restaurant opening
McIntyre’s eyes New Braunfels for new location,https://www.bizjournals.com/sanantonio/news/2026/07/08/new-braunfels-sports-bar-chain-location-expansion.html,San Antonio Business Journal,9 hours ago,"This marks the fifth outpost for the growing Texas chain, which opened its flagship in the Houston Heights neighborhood in 2016. Its expansion started shortly after with the opening of another Houston-area location in 2017. 

McIntyre’s entered the San Antonio market in late December 2022. Its Southtown site took over the former home of The Patio at 1035 S. …",restaurant opening
Former Central Avenue Starbucks location listed for lease,https://www.bizjournals.com/albuquerque/news/2026/07/08/central-avenue-starbucks-listing-lease.html,Albuquerque Business First,9 hours ago,NE actively has plans for a new business with a Satellite coffee opening there soon. The location 106 W. San Francisco Street in Santa Fe is also currently listed for lease by Barker Realty.…,restaurant opening
Former Edwards Dessert Kitchen chef opens her own bakery in south Minneapolis,https://www.bizjournals.com/twincities/news/2026/07/08/edwards-dessert-kitchen-clementine-jasmine.html,Minneapolis / St. Paul Business Journal,9 hours ago,"She’s also done some consulting work for Schwan’s.

She knew EDK couldn’t last forever, and had long considered opening her own spot. It was a tough road; finding money is hard. When Edwards opened, she had people who said they would invest if she ever opened her own spot. …",restaurant opening
"D.C. restaurant closures drop sharply, but industry group warns of looming threat",https://www.bizjournals.com/washington/news/2026/07/08/dc-restaurant-closings-ramw-shawn-townsend.html,Washington Business Journal,9 hours ago,"To that end, she said she puts credence in RAMW's position there's a correlation between the slowdown in restaurant closings and the pause in tipped wage increases.

As a business owner, Gross said she hates to see any restaurant close, and last year was a tough one because of increasing costs and decreasing consumer spending. …",restaurant opening
Korean street food concept Seoul Gimbap to open first storefront in former pizza shop,https://www.bizjournals.com/albuquerque/news/2026/07/08/korean-street-food-startup-permanent-location.html,Albuquerque Business First,10 hours ago,"Hanmin, who is originally from Korea, said he is aiming for a late July opening but expects the restaurant could open in mid-August, depending on any delays in the city's permitting process.

He described the menu as “simple,” with kimbap priced at $6 each. …",restaurant opening
Prado 264 set to open in former Mark's Feed Store location,https://www.bizjournals.com/louisville/news/2026/07/08/prado-264-announces-opening-date.html,Louisville Business First,11 hours ago,Mimi’s Ethiopian Restaurant has yet to announce an opening date.…,restaurant opening
Familiar name nears purchase of Old Mohawk restaurant in German Village,https://www.bizjournals.com/columbus/news/2026/07/08/old-mohawk-german-village-ncr-ventures-rick-doody.html,Columbus Business First,11 hours ago,"Rick Doody said he lived in German Village for years when he worked at the restaurant .

The building Old Mohawk is in began as a corner store at the turn of the century and was a brothel and speakeasy before becoming a full restaurant in 1933.

…",restaurant opening
Tampa Bay's first Cook Out nears opening in USF area,https://www.bizjournals.com/tampabay/news/2026/07/08/cook-out-tampa-east-fowler-opening.html,Tampa Bay Business Journal,12 hours ago,"Cook Out’s chargrilled burgers and hand-spun milkshakes are close to opening its first Tampa location. 

North Carolina-based Cook Out, a fast-food chain with locations throughout the Southeast and Mid-Atlantic, appears to be opening its Temple Terrace location soon, as signage for the restaurant has been put on the building and the drive-thru has been constructed. …",restaurant opening
Teddy's on West 38th has closed after less than 2 years,https://www.bizjournals.com/austin/news/2026/07/08/teddys-restaurant-bar-closed-atx.html,Austin Business Journal,12 hours ago,"Less than two years after opening on West 38th Street, Teddy's has closed. 

The Southwestern cuisine restaurant and bar was at 1601 W. 38th St. in the Jefferson Square Shopping Center. …",restaurant opening
"Ikea's downtown S.F. mall gets new life, and the team behind it is ready 'to take some risk' to fill it up",https://www.bizjournals.com/sanfrancisco/news/2026/07/08/ikea-saluhall-spirited-bar-oklava-cafe-mid-market.html,San Francisco Business Times,15 hours ago,"Ingka's ambitious food hall bet hasn't found a sustainable food and beverage winner since opening in spring 2024 with a smorgasbord of local and vegetarian-leaning vendors, as well as Scandinavian concepts that included a bakery, soft-serve and smash burgers. 

…",restaurant opening
Pop-up cafés are taking over Orlando’s coffee scene. Here’s what’s driving the trend.,https://www.bizjournals.com/orlando/news/2026/07/08/coffee-shop-cafe-pop-up-small-business-orlando.html,Orlando Business Journal,16 hours ago,"Traditional coffee shops and cafés often require significant upfront investment. According to a study by Toast, opening costs can range from $80,000 to $300,000 due to expenses such as equipment, permitting, build-outs and long-term leases. By comparison, Capital One Research found that 44% of pop-up businesses cost less than $5,000 to launch.

…",restaurant opening
Kura Sushi opening second area location in Overland Park,https://www.bizjournals.com/kansascity/news/2026/07/08/high-tech-sushi-bar-kura-second-area-location.html,Kansas City Business Journal,18 hours ago,"Kura Revolving Sushi Bar is opening its second Kansas City-area location, and first in Kansas.

The high-tech sushi bar debuted its first area location in December 2023 on the Country Club Plaza at 200 W. 47th St. …",restaurant opening
"Mister Pizza, Connor's among a dozen eateries to change hands in Q2",https://www.bizjournals.com/buffalo/news/2026/07/08/restaurant-news-q2-new-owners-eateries-buffalo.html,Buffalo Business First,19 hours ago,"The project could also include a Wendy’s, Dunkin or Buffalo Wild Wings to Go.
Arctic Bites is opening a site at 141 Buffalo St. in the Village of Hamburg. The site will become its second location, joining a hibachi restaurant that opened at 502 N. …",restaurant opening
