date,title,address,url,Date_Appended
2026-08-29,Bake n’ Soda Bringing Sodas and Treats to Springfield Storefront,"901 S Main St, Springfield, TN 37172",https://whatnow.com/nashville/restaurants/bake-n-soda-bringing-sodas-and-treats-to-springfield-storefront/,2026-08-29
2026-08-29,Love Notes Coffee & Wine Coming to West Adams,"4770 W Adams Blvd, Los Angeles, CA 90016",https://whatnow.com/los-angeles/restaurants/love-notes-coffee-wine-coming-to-west-adams/,2026-08-29
2026-08-29,Magnaye Coffee & Goods Coming to Normal Heights,"4456 30th St, San Diego, CA 92116",https://whatnow.com/san-diego/restaurants/magnaye-coffee-goods-coming-to-normal-heights/,2026-08-29
2026-08-29,Solace Brewing Heads to Ballston,"4201 Wilson Blvd, Arlington, VA 22203",https://whatnow.com/washington-dc/restaurants/solace-brewing-heads-to-ballston/,2026-08-29
2026-08-29,Forest Hill Dining Scene About to get Lucky AF,"4701 Forest Hill Ave c1, Richmond, VA 23225",https://whatnow.com/washington-dc/restaurants/forest-hill-dining-scene-about-to-get-lucky-af/,2026-08-29
2026-08-28,A Popular Chicken Chain Opens a New Location in Brooklyn With 80 Jobs,"1569 Flatbush Ave #1573, Brooklyn, NY 11210",https://whatnow.com/new-york/restaurants/a-popular-chicken-chain-opens-a-new-location-in-brooklyn-with-80-jobs/,2026-08-29
2026-08-28,"After 30 Years, a Taylor Community Diner Is Closing Its Doors","8787 Telegraph Rd, Taylor, MI 48180",https://whatnow.com/detroit/restaurants/after-30-years-a-taylor-community-diner-is-closing-its-doors/,2026-08-29
2026-08-28,Dave's Hot Chicken Sets Sights on Killeen,"2801 Central Expy, Melissa, TX 75454, USA",https://whatnow.com/austin/restaurants/daves-hot-chicken-sets-sights-on-killeen/,2026-08-29
2026-08-28,Habit Burger & Grill Planning New Fort Lauderdale Restaurant,"6500 NW 12th Ave, Fort Lauderdale, FL 33309",https://whatnow.com/miami/restaurants/habit-burger-grill-planning-new-fort-lauderdale-restaurant/,2026-08-29
2026-08-28,First-Ever Kyuramen Express to Open in New York City's Financial District | What Now New York,"40 Gold St, New York, NY 10038",https://whatnow.com/new-york/restaurants/first-ever-kyuramen-express-to-open-in-new-york-citys-financial-district/,2026-08-29
2026-08-28,A Southern Fine Dining Gem Inside The Jay Hotel Is Closing Next Month,"433 Clay St, San Francisco, CA 94111, United States",https://whatnow.com/san-francisco/restaurants/a-southern-fine-dining-gem-inside-the-jay-hotel-is-closing-next-month/,2026-08-29
2026-08-28,Taco Street Expanding With New Seattle Location,"5602 1st Ave S, Seattle, WA 98108",https://whatnow.com/seattle/restaurants/taco-street-expanding-with-new-seattle-location/,2026-08-29
2026-08-28,4 New York Restaurants Closed Their Doors Permanently in August 2026,,https://whatnow.com/new-york/restaurants/4-new-york-restaurants-closed-their-doors-permanently-in-august-2026/,2026-08-29
2026-08-28,Army Ant’s Cheeseburgers Planning Old-School Burger Joint in Avondale,,https://whatnow.com/phoenix/restaurants/army-ants-cheeseburgers-planning-old-school-burger-joint-in-avondale/,2026-08-29
2026-08-28,Little Rosa’s Pizza Joining Hickory Flat Marketplace | What Now Atlanta,"6375 Hickory Flat Hwy, Canton, GA 30115",https://whatnow.com/atlanta/restaurants/little-rosas-pizza-joining-hickory-flat-marketplace/,2026-08-29
2026-08-28,Suki Desu Expanding With Hell’s Kitchen Location,"709 9th Ave., New York, NY 10019",https://whatnow.com/new-york/restaurants/suki-desu-expanding-with-hells-kitchen-location/,2026-08-29
2026-08-28,Caragiulo’s Italian American Restaurant Plans Reopening in New Home,"1833 Ringling Blvd, Sarasota, FL 34236",https://whatnow.com/tampa/restaurants/caragiulos-italian-american-restaurant-plans-reopening-in-new-home/,2026-08-29
2026-08-28,Crumbl Cookies Planning First St. Johns County Store,"305 State Rte 312, St. Augustine, FL 32086",https://whatnow.com/jacksonville/restaurants/crumbl-cookies-planning-first-st-johns-county-store/,2026-08-29
2026-08-28,Bahama Buck's to Open First Anna Location,"1004 W Rosamond Pkwy, Anna, TX 75409, USA",https://whatnow.com/dallas/restaurants/bahama-bucks-to-open-first-anna-location/,2026-08-29
2026-08-28,Dalmoros Fresh Italian Bringing Fresh Pasta to Jacksonville’s Five Points,"1018 Park St, Jacksonville, FL 32204",https://whatnow.com/jacksonville/restaurants/dalmoros-fresh-italian-bringing-fresh-pasta-to-jacksonvilles-five-points/,2026-08-29
2026-08-28,Damaskino Mediterranean Grill Expanding With Second Jacksonville Location,"3825 Baymeadows Rd, Jacksonville, FL 32217",https://whatnow.com/jacksonville/restaurants/damaskino-mediterranean-grill-expanding-with-second-jacksonville-location/,2026-08-29
2026-08-28,La Tia y El Paisano Plans Opening in Bradenton,"5803 15th St E, Bradenton, FL 34203",https://whatnow.com/tampa/restaurants/la-tia-y-el-paisano-plans-opening-in-bradenton/,2026-08-29
